bag,chamber,set,pre.weight,post.weight,decomposition,treatment,Acari,Araneae,Chilopoda,Coleoptera,Collembola,Diptera,Formicidae,Hymenoptera,Lepidoptera,Orthoptera,Psocoptera,Thysanoptera,eggs,unknown
1,1,B,0.93,0.76,0.182795699,NO,12,0,0,0,11,1,0,0,1,0,2,0,0,0
2,1,C,0.9,0.78,0.133333333,NO,7,0,0,0,4,0,0,1,0,0,2,0,0,0
3,1,A,0.89,0.79,0.112359551,NO,30,0,0,0,5,0,0,0,0,0,5,1,0,0
4,2,C,0.89,0.78,0.123595506,NO,7,0,0,0,5,1,0,0,0,0,0,0,0,0
5,2,B,0.89,0.74,0.168539326,NO,3,0,0,0,0,0,0,0,2,0,0,0,0,0
6,2,A,0.91,0.73,0.197802198,NO,5,0,0,0,2,0,0,0,0,0,0,0,0,1
7,3,C,0.91,0.76,0.164835165,NO,4,0,0,0,1,0,0,0,0,0,0,0,0,0
8,3,B,0.89,0.69,0.224719101,NO,15,0,0,1,41,1,0,0,0,0,0,0,0,0
9,3,A,0.9,0.61,0.322222222,NO,0,0,0,0,1,1,0,0,0,0,17,0,38,0
10,4,C,0.92,0.7,0.239130435,NO,14,0,0,0,20,1,0,0,0,0,0,0,0,0
11,4,B,0.92,0.74,0.195652174,NO,10,0,0,0,11,0,0,2,11,0,2,1,30,1
12,4,A,0.93,0.67,0.279569892,NO,5,0,0,0,4,0,0,0,0,0,30,0,15,0
13,5,C,0.94,0.76,0.191489362,NO,5,0,0,0,12,1,0,0,0,0,1,0,0,0
14,5,B,0.93,0.7,0.247311828,NO,44,0,0,0,16,1,0,0,0,0,0,0,0,0
15,5,A,0.87,0.76,0.126436782,NO,4,0,0,0,2,0,0,0,0,0,0,0,0,0
16,7,C,0.93,0.72,0.225806452,NO,13,0,0,1,3,0,0,0,0,0,0,0,0,1
17,7,B,0.91,0.7,0.230769231,NO,5,0,0,0,4,1,0,0,0,0,0,0,0,0
18,7,A,0.88,0.67,0.238636364,NO,7,0,0,0,11,0,0,0,0,0,0,0,0,0
19,8,C,0.9,0.64,0.288888889,NO,8,0,0,0,1,1,0,0,0,0,1,0,3,0
20,8,B,0.86,0.72,0.162790698,NO,12,0,0,0,0,0,0,0,0,0,18,0,0,0
21,8,A,0.89,0.64,0.280898876,NO,50,0,0,0,25,0,0,0,0,0,0,1,0,0
22,9,C,0.92,0.73,0.206521739,NO,17,0,0,0,6,0,0,1,0,0,52,0,0,0
23,9,B,0.91,0.69,0.241758242,NO,11,0,0,0,3,1,0,1,0,0,3,1,0,0
24,9,A,0.89,0.58,0.348314607,NO,24,0,0,0,8,0,0,0,0,0,0,0,0,0
25,10,C,0.88,0.75,0.147727273,NO,17,0,0,0,3,0,0,0,2,0,1,1,0,0
26,10,B,0.89,0.71,0.202247191,NO,14,0,0,0,3,0,0,0,11,0,0,0,4,0
27,10,A,0.91,0.75,0.175824176,NO,4,0,0,0,1,0,0,0,0,0,3,0,0,0
28,12,C,0.88,0.75,0.147727273,NO,9,0,0,0,6,1,0,1,0,0,0,0,9,0
29,12,B,0.91,0.74,0.186813187,NO,17,0,0,0,3,0,0,0,0,0,1,0,0,0
30,12,A,0.88,0.63,0.284090909,NO,14,0,0,0,1,0,0,0,0,0,9,0,0,0
31,12,A,0.89,0.76,0.146067416,MI,10,4,0,0,5,0,0,0,8,0,25,0,0,0
32,12,B,0.89,0.78,0.123595506,MI,19,2,0,0,11,1,0,0,3,0,1,0,9,0
33,12,C,0.88,0.56,0.363636364,MI,23,1,0,0,7,0,0,2,1,0,15,0,1,1
34,10,A,0.93,0.64,0.311827957,MI,57,1,1,0,19,1,0,0,5,0,0,1,0,0
35,10,B,0.91,0.62,0.318681319,MI,0,0,0,0,2,0,0,0,0,0,0,0,0,0
36,10,C,0.94,0.77,0.180851064,MI,0,0,0,0,3,0,0,0,0,0,6,0,0,0
37,9,A,0.88,0.63,0.284090909,MI,0,4,0,0,7,1,0,0,7,0,22,0,0,0
38,9,B,0.93,0.67,0.279569892,MI,12,0,0,0,12,1,0,1,6,0,3,0,0,0
39,9,C,0.88,0.74,0.159090909,MI,5,1,0,0,7,2,0,1,3,0,15,0,7,0
40,8,A,0.94,0.66,0.29787234,MI,19,1,0,0,12,0,0,0,10,0,11,0,0,0
41,8,B,0.93,0.64,0.311827957,MI,24,2,0,0,15,2,0,0,3,0,16,0,0,0
42,8,C,0.89,0.62,0.303370787,MI,7,1,0,0,26,0,0,0,4,0,7,2,0,2
43,7,A,0.91,0.63,0.307692308,MI,6,0,0,0,19,1,1,0,0,0,0,0,0,0
44,7,B,0.93,0.63,0.322580645,MI,8,0,0,1,8,1,0,0,12,0,0,1,0,0
45,7,C,0.88,0.55,0.375,MI,6,1,0,0,7,3,0,0,7,0,2,0,0,0
46,5,A,0.87,0.63,0.275862069,MI,5,2,0,0,15,0,1,0,2,0,12,0,0,0
47,5,B,0.91,0.75,0.175824176,MI,12,0,0,0,11,2,0,1,0,0,5,0,0,0
