chamber,cat1.avg,cat2.avg,catd.avg,csto1.avg,csti1.avg,csto2.avg,csti2.avg,cq.avg,crh.avg,csm.avg
1,25.51866898,23.22383102,38.92219907,19.11784722,18.68711806,18.39543981,17.77691773,12.20263542,63.02575243,0.127868056
2,23.35101852,23.68359954,32.48008102,19.73780997,18.6866088,18.591875,18.3258912,14.42406944,73.75258102,0.128459491
3,21.688125,22.18865741,24.96770833,18.76090278,17.88928158,17.78696759,17.20778935,4.34215625,80.78362269,0.118981481
4,19.90505787,19.94106481,20.73984954,17.2278588,17.15490741,17.84732329,17.32275463,18.02199537,87.02114219,0.113711806
5,24.88060185,24.68679398,37.38094907,20.31922454,19.3081713,19.69694444,18.43574246,3.263997685,67.13020833,0.120731481
7,22.78913194,21.18305556,30.84708333,18.85309028,17.96243337,19.20296296,17.62997685,17.72481713,74.54186343,0.121240741
8,21.78765046,20.98125,25.62641204,18.8533912,17.95342593,18.40027778,17.93341435,4.829402778,70.51104167,0.098648148
9,23.1181713,22.50649306,31.37650463,19.45903935,17.59336806,17.92631944,16.66043981,11.15615856,72.98341435,0.185149306
10,22.69380787,23.92165509,35.24210648,18.53665509,17.19774306,18.19855324,17.42708333,5.695115741,70.98831787,0.146400463
12,22.58488426,23.04074074,32.50833333,17.97868056,17.45194444,18.34534722,17.44666667,4.405021991,79.42798144,0.170958333
